id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
ID7P20,ID7,ac_temp,4,95.3223046206503,4.67769537934969,2,51,2,44,30000,1000000,24,29,30,27.67,15,0,2.71243391114651,-.521749194749952,.606454640512059,1.51516503578485,.646225116213091,.672663910299404
ID7P20,ID7,ajotila,5,82.6086956521739,17.3913043478261,2,51,2,44,30000,1000000,24,29,30,27.67,22,0,8.78617013598455,-.173916398249985,1.41965029185494,1.51516503578485,.646225116213091,4.77553201359035
ID7P20,ID7,a_baseline, ,98.9067894131185,1.09321058688147,2,51,2,44,30000,1000000,24,29,30,27.67, ,0, , , ,1.51516503578485,.646225116213091, 
ID7P20,ID7,kirkkaus,2,86.4148816234498,13.5851183765502,2,51,2,44,30000,1000000,24,29,30,27.67,0,1,6.96782180786389,-1.21741478774989,-1.1361074695084,1.51516503578485,.646225116213091,3.5472199697433
ID7P20,ID7,lane,6,96.4265129682997,3.57348703170029,2,51,2,44,30000,1000000,24,29,30,27.67,23,0,2.18491491496564,.173916398249983,1.53582109918964,1.51516503578485,.646225116213091,.316319679468365
ID7P20,ID7,latausasema,8,88.5361552028219,11.4638447971781,2,51,2,44,30000,1000000,24,29,30,27.67,1,0,5.95441513366382,.869581991249917,-1.0199366621737,1.51516503578485,.646225116213091,2.86265386984678
ID7P20,ID7,navi,9,91.4089347079038,8.59106529209622,2,51,2,44,30000,1000000,24,29,30,27.67,2,0,4.5819877616051,1.21741478774988,-.903765854839006,1.51516503578485,.646225116213091,1.93556578428322
ID7P20,ID7,puhelu,10,77.0348837209302,22.9651162790698,2,51,2,44,30000,1000000,24,29,30,27.67,8,0,11.4489752860541,1.56524758424985,-.206741010830822,1.51516503578485,.646225116213091,6.57428288308345
ID7P20,ID7,radio,3,85.3110599078341,14.6889400921659,2,51,2,44,30000,1000000,24,29,30,27.67,10,0,7.49515609638272,-.869581991249919,.0256006038385723,1.51516503578485,.646225116213091,3.90343942874578
ID7P20,ID7,seat,1,95.5249569707401,4.4750430292599,2,51,2,44,30000,1000000,24,29,30,27.67,22,0,2.61561978678254,-1.56524758424985,1.41965029185494,1.51516503578485,.646225116213091,.60726502432596
ID7P21,ID7,ac_suunta,8,92.9553264604811,7.0446735395189,1,53,2,35,20000,700000,32,25,31,29.33,10,0,2.79399658494985,.869581991249917,.0256006038385723,.906091249687715,.778910121062927,.727760292555581
ID7P21,ID7,ac_temp,6,92.9754426042262,7.02455739577384,1,53,2,35,20000,700000,32,25,31,29.33,17,0,2.78701004452034,.173916398249983,.838796255181453,.906091249687715,.778910121062927,.723040816302503
ID7P21,ID7,ajotila,4,93.516924842226,6.48307515777395,1,53,2,35,20000,700000,32,25,31,29.33,29,0,2.59894777992369,-.521749194749952,2.23284594319782,.906091249687715,.778910121062927,.596002920963732
